job_title,company,industry,job_description
Loan Operations Specialist,Horizon Lending Group,Lending Operations,"We are seeking a Loan Operations Specialist to manage the end-to-end processing of residential mortgage loans. Responsibilities include reviewing loan files for completeness and accuracy, coordinating with underwriters on exception conditions, manually entering borrower data into our LOS (Encompass), reconciling daily funding reports, tracking outstanding conditions and stips, and communicating with title companies and settlement agents. The role requires handling exception queues for loans that fail automated eligibility checks, re-keying data from closing packages into our pipeline tracker, and ensuring compliance with RESPA, TRID, and HMDA reporting requirements. Must be comfortable working with high document volumes—often 200+ page loan packages—and routing documents between processors, underwriters, and closers. Experience with Excel-based reconciliation of escrow accounts is required."
Healthcare Revenue Cycle Analyst,MedBridge Health System,Healthcare Operations,"The Revenue Cycle Analyst will support billing operations for a 400-bed acute care hospital. Key duties include working denied claims queues, manually correcting billing codes identified by our charge capture audits, reconciling payments from multiple payer portals (Medicare, Medicaid, and commercial insurers), and following up on outstanding AR. The role requires daily review of remittance advice files, manual posting of EOBs when auto-posting fails, and coordination with clinical staff to obtain missing documentation needed to support claims. Must be proficient in navigating Epic and Availity. Strong attention to detail required for handling prior authorization requests and ensuring compliance with payer-specific medical necessity criteria and CMS guidelines. Frequent interaction with payers to appeal clinical denials and provide medical records."
Compliance Operations Associate,RegShield Financial,Compliance & Regulatory,"Join our BSA/AML compliance team as a Compliance Operations Associate. Daily responsibilities include reviewing transaction monitoring alerts generated by our Actimize system, conducting enhanced due diligence on flagged customer accounts, manually documenting case investigations in our case management platform, filing Suspicious Activity Reports (SARs) with FinCEN, and maintaining customer risk ratings. The role involves reviewing large volumes of source of funds documentation, corporate ownership records, and account statements to assess potential money laundering risk. Candidates must be comfortable making independent judgment calls on borderline cases and escalating complex situations. Familiarity with OFAC screening, sanctions compliance, and Bank Secrecy Act requirements is essential. Significant documentation of all investigative steps is required for audit trail purposes."
Trade Reconciliation Analyst,Summit Asset Management,Financial Operations,"The Trade Reconciliation Analyst is responsible for daily reconciliation of equity and fixed income trades between our internal OMS (Charles River) and prime broker statements. This includes identifying and resolving breaks caused by settlement failures, corporate actions, or data entry errors. The role requires manual outreach to counterparties to resolve discrepancies, updating position records in our accounting system, and preparing end-of-day break reports for risk management review. Must be comfortable working in high-pressure environments with tight deadlines and managing large Excel workbooks with thousands of rows. Experience with DTC settlement processes, SWIFT messaging, and custody bank reconciliation portals is preferred. Strong documentation practices required for internal audit reviews."
Clinical Documentation Improvement Specialist,Pinnacle Health Network,Healthcare Operations,"We are hiring a Clinical Documentation Improvement (CDI) Specialist to work concurrently with inpatient medical records. This role involves reviewing physician notes, operative reports, and lab results to identify opportunities to improve clinical documentation accuracy and specificity for ICD-10-CM/PCS coding. Responsibilities include querying physicians for clarification via our CDI query management platform, manually abstracting clinical data from paper charts, reconciling coding discrepancies between CDI and HIM staff, and ensuring documentation supports medical necessity and severity of illness for reimbursement. Must navigate multiple EMR systems simultaneously. Role requires significant judgment in identifying documentation gaps and knowledge of RAC audit risk areas and payer-specific documentation requirements."
Mortgage Underwriting Coordinator,ClearPath Mortgage,Lending Operations,"The Underwriting Coordinator supports our team of underwriters in processing conventional and government loan applications. Responsibilities include stacking and organizing loan files, ordering third-party verifications (appraisals, title searches, flood certs), manually entering conditions into our LOS, following up with borrowers and loan officers for outstanding documents, and tracking pipeline status in Excel. The role requires reviewing income documentation—tax returns, W-2s, pay stubs, bank statements—to ensure files meet agency guidelines before underwriter review. Must coordinate with MI companies for PMI approvals and handle exception escalations for loans outside standard guidelines. FNMA/FHLMC, FHA, and VA underwriting guidelines knowledge required. High document volume—typically 50–100 documents per file across multiple borrowers."
AP and GL Reconciliation Specialist,Axiom Manufacturing Corp,Finance & Accounting,"We are seeking an AP and GL Reconciliation Specialist to support our month-end close process. Responsibilities include reconciling accounts payable subledger to the general ledger in SAP, investigating and resolving coding discrepancies, manually matching vendor invoices to purchase orders and goods receipts, processing invoice exceptions flagged by our 3-way match workflow, and preparing reconciliation workpapers for external audit. The role requires heavy use of Excel pivot tables for variance analysis, coordination with procurement and receiving teams to resolve mismatches, and month-end journal entry preparation. Must manage high invoice volumes (2,000+ per month) and meet strict close deadlines. Strong knowledge of GAAP and audit support requirements."
Insurance Claims Examiner,Meridian Casualty Group,Insurance Operations,"As a Claims Examiner you will manage a portfolio of complex commercial property and casualty claims from first notice of loss through final resolution. Duties include reviewing policy terms and conditions to determine coverage, obtaining and reviewing loss documentation (repair estimates, invoices, police reports, medical records), coordinating independent adjuster and expert assignments, manually entering claim updates into our TPA system (Guidewire), and negotiating settlements with claimants and attorneys. This role involves significant judgment in evaluating liability, coverage disputes, and fraud indicators. Must adhere to state regulatory requirements for acknowledgment, investigation, and payment timeframes. Audit of claim files by reinsurers and state departments of insurance requires meticulous documentation of all decisions and communications."
Healthcare Prior Authorization Coordinator,BlueStone Medical Group,Healthcare Operations,"The Prior Authorization Coordinator handles pre-authorization requests for outpatient procedures, specialty referrals, and high-cost medications for our 12-physician group practice. Responsibilities include submitting auth requests through payer portals (Availity, NaviNet, payer websites), following up on pending authorizations, manually tracking authorization status in an Excel log, coordinating with clinical staff to obtain supporting medical records and clinical notes, and managing peer-to-peer review scheduling for denied cases. Must understand payer-specific medical necessity criteria and be comfortable with frequent policy changes. High volume of phone and portal-based interactions with insurance companies daily. Compliance with timely access regulations is critical."
Regulatory Reporting Analyst,Federal Savings Bank Corp,Banking & Regulatory,"The Regulatory Reporting Analyst is responsible for preparing and filing mandatory regulatory reports including Call Report, HMDA LAR, CRA data, and FR Y-9C for our bank holding company. The role requires manual data extraction from multiple core banking systems (FiServ, Jack Henry), validation of data against prior period submissions, reconciliation of reported figures to audited financials, and coordination with finance, credit, and compliance teams to resolve data discrepancies. Must be familiar with FFIEC and Federal Reserve reporting requirements. The role involves significant preparation of audit-ready documentation and response to examiner inquiries. Experience handling examination management and responding to supervisory findings is a plus."
Loan Servicing Exception Specialist,National Mortgage Servicers Inc,Lending Operations,"We are looking for a Loan Servicing Exception Specialist to handle escalated servicing issues that fall outside standard automated workflows. This includes processing manual payment reversals, resolving escrow analysis disputes, handling loan modification requests, correcting payment misapplications, and managing complaints received through the CFPB complaint portal. Must navigate our Black Knight MSP servicing platform and coordinate with escrow, tax, and insurance vendors. Heavy written correspondence with borrowers required. This role involves independent judgment on complex servicing scenarios and must adhere to RESPA, Reg X, and applicable state mortgage servicing laws. Documentation of all exception handling decisions is required for regulatory examination readiness."
Supply Chain Compliance Analyst,GlobalTrade Partners LLC,Compliance & Regulatory,"The Supply Chain Compliance Analyst manages import/export compliance for our global sourcing operations. Responsibilities include classifying goods under the HTS schedule, reviewing denied party screening results from our Visual Compliance system, preparing and reviewing commercial invoices and certificates of origin for customs, managing C-TPAT documentation, and conducting supplier audits against our code of conduct requirements. Must coordinate with foreign suppliers to obtain product-specific compliance documentation and handle periodic customs broker reconciliation. This role requires frequent manual review and judgment on ambiguous product classifications. Familiarity with ITAR, EAR, and OFAC sanctions screening is preferred. Preparation of compliance audit files is ongoing."
Medical Records Release Coordinator,Coastal Health Partners,Healthcare Operations,"The Medical Records Release Coordinator manages incoming requests for patient health information from patients, attorneys, insurance companies, and government agencies. Duties include reviewing each request for valid authorizations, manually logging requests into our ROI tracking system (Verisma), locating and retrieving records from multiple EMR systems (Epic, Cerner), redacting sensitive information per HIPAA and state privacy laws, and routing records via secure fax, portal, or mail. This role requires judgment in evaluating the validity and scope of each authorization. Must manage high daily volumes (100+ requests) while meeting state-mandated response timeframes. Audit readiness requires complete tracking of all disclosures in the disclosure accounting log."
Collateral Management Analyst,Riverstone Capital Markets,Financial Operations,"The Collateral Management Analyst supports daily margin call operations for our OTC derivatives portfolio. Responsibilities include calculating daily collateral requirements based on CSA terms, coordinating margin call issuances and receipts with counterparties, reconciling collateral positions with custodians and counterparties, investigating and resolving disputes over margin call amounts, and updating collateral records in our Murex system. Must have experience with ISDA Credit Support Annexes and an understanding of variation margin and initial margin requirements under EMIR and Dodd-Frank. Role requires significant manual outreach to counterparty operations teams and judgment in prioritizing and escalating unresolved disputes. Audit documentation of all margin activity maintained for regulatory review."
